domain,canonical,project_code,symbol,category,subcategory,unit,aliases,description,relations
地层,太古宇,STR-ARCHEAN,Ar,前寒武纪,太古宙,,太古界|Archean,太古宇地层单元。,[]
地层,古元古界,STR-PALEOPROTEROZOIC,Pt1,元古宙,古元古代,,古元古代|Paleoproterozoic,古元古界地层单元。,[]
地层,中元古界,STR-MESOPROTEROZOIC,Pt2,元古宙,中元古代,,中元古代|Mesoproterozoic,中元古界地层单元。,[]
地层,新元古界,STR-NEOPROTEROZOIC,Pt3,元古宙,新元古代,,新元古代|Neoproterozoic,新元古界地层单元。,[]
地层,南华系,STR-NANHUA,Nh,新元古代,南华纪,,南华纪|Nanhua,南华系地层单元。,[]
地层,震旦系,STR-SINIAN,Z,新元古代,震旦纪,,震旦纪|Sinian,震旦系地层单元。,[]
地层,埃迪卡拉系,STR-EDIACARAN,Edi,新元古代,埃迪卡拉纪,,埃迪卡拉纪|Ediacaran,埃迪卡拉系地层单元。,[]
地层,寒武系,STR-CAMBRIAN,Є,古生代,寒武纪,,寒武纪|Cambrian|Є|∈,寒武系地层单元。,[]
地层,奥陶系,STR-ORDOVICIAN,O,古生代,奥陶纪,,奥陶纪|Ordovician,奥陶系地层单元。,[]
地层,志留系,STR-SILURIAN,S,古生代,志留纪,,志留纪|Silurian,志留系地层单元。,[]
地层,泥盆系,STR-DEVONIAN,D,古生代,泥盆纪,,泥盆纪|Devonian,泥盆系地层单元。,[]
地层,石炭系,STR-CARBONIFEROUS,C,古生代,石炭纪,,石炭纪|Carboniferous,石炭系地层单元。,[]
地层,二叠系,STR-PERMIAN,P,古生代,二叠纪,,二叠纪|Permian,二叠系地层单元。,[]
地层,三叠系,STR-TRIASSIC,T,中生代,三叠纪,,三叠纪|Triassic,三叠系地层单元。,[]
地层,侏罗系,STR-JURASSIC,J,中生代,侏罗纪,,侏罗纪|Jurassic,侏罗系地层单元。,[]
地层,白垩系,STR-CRETACEOUS,K,中生代,白垩纪,,白垩纪|Cretaceous,白垩系地层单元。,[]
地层,古近系,STR-PALEOGENE,E,新生代,古近纪,,古近纪|Paleogene|下第三系|老第三系,古近系地层单元。,[]
地层,新近系,STR-NEOGENE,N,新生代,新近纪,,新近纪|Neogene|上第三系|新第三系,新近系地层单元。,[]
地层,第四系,STR-QUATERNARY,Q,新生代,第四纪,,第四纪|Quaternary|第四系沉积|第四纪地层,第四系地层单元。,[]
地层,更新统,STR-PLEISTOCENE,Qp,新生代,第四纪,,更新世|Pleistocene,更新统地层单元。,[]
地层,全新统,STR-HOLOCENE,Qh,新生代,第四纪,,全新世|Holocene,全新统地层单元。,[]
地层,下统,STR-LOWER-SERIES,,统级地层,下统,,下部地层|Lower Series,下统地层单元。,[]
地层,中统,STR-MIDDLE-SERIES,,统级地层,中统,,中部地层|Middle Series,中统地层单元。,[]
地层,上统,STR-UPPER-SERIES,,统级地层,上统,,上部地层|Upper Series,上统地层单元。,[]
地层,须家河组,STR-T3X,T3x,三叠系,上三叠统,,须家河地层|Xujiahe Formation|T3x|T₃x,须家河组地层单元。,[]
地层,飞仙关组,STR-T1F,T1f,三叠系,下三叠统,,飞仙关地层|Feixianguan Formation|T1f|T₁f,飞仙关组地层单元。,[]
地层,嘉陵江组,STR-T1J,T1j,三叠系,下三叠统,,嘉陵江地层|Jialingjiang Formation|T1j|T₁j,嘉陵江组地层单元。,[]
地层,雷口坡组,STR-T2L,T2l,三叠系,中三叠统,,雷口坡地层|Leikoupo Formation|T2l|T₂l,雷口坡组地层单元。,[]
地层,巴东组,STR-T2B,T2b,三叠系,中三叠统,,巴东地层|Badong Formation|T2b|T₂b,巴东组地层单元。,[]
地层,自流井组,STR-J1Z,J1z,侏罗系,下侏罗统,,自流井地层|Ziliujing Formation|J1z|J₁z,自流井组地层单元。,[]
地层,沙溪庙组,STR-J2S,J2s,侏罗系,中侏罗统,,沙溪庙地层|Shaximiao Formation|J2s|J₂s,沙溪庙组地层单元。,[]
地层,遂宁组,STR-J3S,J3s,侏罗系,上侏罗统,,遂宁地层|Suining Formation|J3s|J₃s,遂宁组地层单元。,[]
